name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,Type of Cereal,is_healthy
100% Bran,N,C,70.0,4.0,1.0,130.0,10.0,5.0,6.0,280.0,25.0,3.0,1.0,0.33,68.402973,Bran,healthy
100% Natural Bran,Q,C,120.0,3.0,5.0,15.0,2.0,8.0,8.0,135.0,0.0,3.0,1.0,1.0,33.983679,Bran,unhealthy
All-Bran,K,C,70.0,4.0,1.0,260.0,9.0,7.0,5.0,320.0,25.0,3.0,1.0,0.33,59.425505,Bran,unhealthy
All-Bran with Extra Fiber,K,C,50.0,4.0,0.0,140.0,14.0,8.0,0.0,330.0,25.0,3.0,1.0,0.5,93.704912,Bran,healthy
Almond Delight,R,C,110.0,2.0,2.0,200.0,1.0,14.0,8.0,90.0,25.0,3.0,1.0,0.75,34.384843,Other,unhealthy
Apple Cinnamon Cheerios,G,C,110.0,2.0,2.0,180.0,1.5,10.5,10.0,70.0,25.0,1.0,1.0,0.75,29.509541,Other,unhealthy
Apple Jacks,K,C,110.0,2.0,0.0,125.0,1.0,11.0,14.0,30.0,25.0,2.0,1.0,1.0,33.174094,Other,unhealthy
Basic 4,G,C,97.74436090225564,2.255639097744361,1.5037593984962405,157.89473684210526,1.5037593984962405,13.533834586466165,6.015037593984962,75.18796992481202,18.796992481203006,2.255639097744361,1.0,0.75,37.038562,Other,unhealthy
Bran Chex,R,C,90.0,2.0,1.0,200.0,4.0,15.0,6.0,125.0,25.0,1.0,1.0,0.67,49.120253,Bran,unhealthy
Bran Flakes,P,C,90.0,3.0,0.0,210.0,5.0,13.0,5.0,190.0,25.0,3.0,1.0,0.67,53.313813,Bran,unhealthy
Cap'n'Crunch,Q,C,120.0,1.0,2.0,220.0,0.0,12.0,12.0,35.0,25.0,2.0,1.0,0.75,18.042851,Crunch,unhealthy
Cheerios,G,C,110.0,6.0,2.0,290.0,2.0,17.0,1.0,105.0,25.0,1.0,1.0,1.25,50.764999,Other,unhealthy
Cinnamon Toast Crunch,G,C,120.0,1.0,3.0,210.0,0.0,13.0,9.0,45.0,25.0,2.0,1.0,0.75,19.823573,Crunch,unhealthy
Clusters,G,C,110.0,3.0,2.0,140.0,2.0,13.0,7.0,105.0,25.0,3.0,1.0,0.5,40.400208,Other,unhealthy
Cocoa Puffs,G,C,110.0,1.0,1.0,180.0,0.0,12.0,13.0,55.0,25.0,2.0,1.0,1.0,22.736446,Other,unhealthy
Corn Chex,R,C,110.0,2.0,0.0,280.0,0.0,22.0,3.0,25.0,25.0,1.0,1.0,1.0,41.445019,Corn,unhealthy
Corn Flakes,K,C,100.0,2.0,0.0,290.0,1.0,21.0,2.0,35.0,25.0,1.0,1.0,1.0,45.863324,Corn,unhealthy
